County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,EBT/SNAP,Latitude,Longitude,Location Points
Bronx,Bissel Gardens Farmers' Market,Baychester Ave. & E. 241 St.,Baychester Ave and East 241st St,Bronx,NY,10470,Heather Warren-Dombrowa,3474272547,http://www.justfood.org,Sat/Wed  9am-5pm,July 12 - November 22,M,Y,Y,40.90151,-73.84702,"(40.90151, -73.84702)"
Bronx,Bronx Borough Hall Greenmarket,"Grand Concourse, 161st & 162nd Sts.",901 Grand Concourse,Bronx,NY,10452,Chelsea Whittaker,2127887476,http://www.grownyc.org,Tuesday  8am-4pm,June 3 - November 25,M,Y,Y,40.82715,-73.92276,"(40.82715, -73.92276)"
Bronx,Harvest Home Co-op City Farmers' Market,Ash Loop & Aldrich Street,Co-Op City Blvd and Bellamy Loop,Bronx,NY,10475,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 9 - November 26,M,Y,Y,40.87368,-73.82447,"(40.87368, -73.82447)"
Bronx,Harvest Home Forest Ave. Farmers' Market,"Forest Ave., Westchester Ave. &  E. 156th St.",East 156st St and Forest Ave,Bronx,NY,10455,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 9 - September 10,M,Y,Y,40.81732,-73.90651,"(40.81732, -73.90651)"
Bronx,Harvest Home Jacobi  Hospital Farmers' Market,1400 Pelham Parkway,1400 Pelham Pkwy,Bronx,NY,10461,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tue/Fri  8am-4pm,June 10 - November 25,M,Y,Y,40.85431,-73.8467,"(40.85431, -73.8467)"
Bronx,Harvest Home Jerome Ave. Farmers' Market,"Mullaly Park, River & McClellan Aves.",Jerome Ave and East 170th St,Bronx,NY,10452,Maritza Owens,2128283361,http://www.harvesthomefm.org,Friday  8am-4pm,June 27 - November 21,M,Y,Y,40.84025,-73.91766,"(40.84025, -73.91766)"
Bronx,Harvest Home Mt. Eden Farmers' Market,"Mt. Eden & Morris Aves., near Bronx-Lebanon Hospital",Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tue/Thu  8am-4pm,May 20 - November 25,P/M,Y,Y,40.84305,-73.90947,"(40.84305, -73.90947)"
Bronx,Harvest Home N. Central Bronx Farmers' Market,Mosholu Parkway North & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 9 - November 26,M,Y,Y,40.88046,-73.88385,"(40.88046, -73.88385)"
Bronx,Harvest Home St. Mary's Farmers' Market,Between St. Anns & Jackson Aves.,St Mary's Park,Bronx,NY,10455,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,July 10 - November 20,M,Y,Y,40.81099,-73.91173,"(40.81099, -73.91173)"
Bronx,Harvest Home Sunday Farmers' Market,"Grand Concourse & E. 165th St.,  at Bronx Museum of the Arts",Grand Concourse and East 165st St,Bronx,NY,10456,Maritza Owens,2128283361,http://www.harvesthomefm.org,Sunday  8am-4pm,June 29 - November 23,M,Y,Y,40.83102,-73.90953,"(40.83102, -73.90953)"
Bronx,Heights Community Farmers' Market,University Ave. and W. 181 St.,University Ave and W 181st Street,Bronx,NY,10453,Kimberley Wong,7189335300,http://www.bronxworks.org,Thursday  9am-3pm,July 10 - November 20,M,Y,Y,40.85658,-73.90768,"(40.85658, -73.90768)"
Bronx,Herban Farmers' Market at Williamsbridge Square,"Williamsbridge Square Park,White Plains Rd. & East Gun Hill Rd.",White Plains Road and East Gun Hill Road,Bronx,NY,10467,Tupacamaru Tiwoni,6463517611,http://www.125thstreetfarmersmarket.com,Wednesday  10am-5pm,July 2 - November 12,M,Y,Y,40.87734,-73.8663,"(40.87734, -73.8663)"
Bronx,Hunts Point Farmers' Market,"Plaza at Hunts Point Ave.,Southern Blvd., E. 163rd & Bruckner Blvd.",Southern Blvd and East 163rd St,Bronx,NY,10459,Doug Ornstein,9149234837,http://www.downtoearthmarkets.com,Wed/Sat  8:30am-4pm,July 9 - November 22,M,Y,Y,40.82098,-73.89151,"(40.82098, -73.89151)"
Bronx,Kingsbridge Heights Youth Market,"Kingsbridge Heights Comm. Ctr,3101 Kingsbridge Terrace",3101 Kingsbridge Terrace,Bronx,NY,10463,Jane Folloro,7188840700,http://www.khcc-nyc.org,Friday  11am-5pm,July 11 - August 22,M,Y,Y,40.87758,-73.90071,"(40.87758, -73.90071)"
Bronx,La Familia Verde Farmers' Market,"Tremont Park, on Tremont Ave.,btwn LaFontaine & Arthur Aves.",East Tremont Ave and Arthur Ave,Bronx,NY,10457,Heidi Hynes,7185831765,http://www.lafamiliaverde.org,Tuesday  8am-3pm,July 8 - November 11,M,Y,Y,40.84643,-73.89334,"(40.84643, -73.89334)"
Bronx,"Learn it, Grow it, Eat it Youthmarket","169th St. & Boston Rd., McKinley Square",E. 169th St. and Boston Rd.,Bronx,NY,10456,Kory Petrovic,2127887476,http://www.grownyc.org/youthmarket,Wed  10am-2:30pm,July 9 - November 26,M,Y,Y,40.83121,-73.90022,"(40.83121, -73.90022)"
Bronx,Lincoln Hospital Greenmarket,149th St. btwn Park & Morris Aves.,East 149th St and Morris Ave,Bronx,NY,10451,Chelsea Whittaker,2127887476,http://www.grownyc.org,Tue/Fri  8am-3pm,June 27 - November 25,M,Y,Y,40.81739,-73.92274,"(40.81739, -73.92274)"
Bronx,Marble Hill Youthmarket,225th St. & Broadwaybtwn Marshalls & Applebees,W. 225th and Broadway & Exterior,Bronx,NY,10463,Jackie Bach,2127883818,http://www.grownyc.org/youthmarket,Thursday  2pm-6pm,July 10 - November 20,M,Y,Y,40.8746,-73.90961,"(40.8746, -73.90961)"
Bronx,Montefiore Youthmarket,E 210th St. & Bainbridge Ave.,East 210th Street and Bainbridge Avenue,Bronx,NY,10467,Jackie Bach,2127883818,http://www.grownyc.org/youthmarket,Thursday  1pm-7pm,July 10 - November 20,M,Y,Y,40.87958,-73.879,"(40.87958, -73.879)"
Bronx,Mott Haven Farmers' Market,Padre Plaza Community Garden139th St. & St. Anne's Ave.,E. 139th & 283 St. Saint Anns Ave,Bronx,NY,10454,Sheila Young,7189241143,,Wednesday 10am-4pm,July 9 - November 12,M,Y,Y,40.80782,-73.91697,"(40.80782, -73.91697)"
Bronx,New York Botanical Garden Greenmarket,"Mosholu Gate on Southern Blvd., Mosholu Pkwy & Bedford Park Blvd.",Southern Blvd between Mosholu Pkwy & Bedford Park Blvd,Bronx,NY,10458,Chelsea Whittaker,2127887476,http://www.grownyc.org,Wednesday  9am-3pm,June 18 - November 26,M,Y,Y,40.86776,-73.87952,"(40.86776, -73.87952)"
Bronx,Northeast Bronx Farmers' Market,"Haffen Park, Hammersley & Wickham Aves.",Hammersley Ave and Wickham Ave,Bronx,NY,10469,Nate Dukes,7188629687,,Thu/Fri/Sat  8am-4pm,July - November,M,N,N,40.87268,-73.83912,"(40.87268, -73.83912)"
Bronx,Parkchester/ Virginia Park Greenmarket,Westchester Ave. & White Plains Rd.,Westchester Ave and White Plains Rd,Bronx,NY,10472,Chelsea Whittaker,2127887476,http://www.grownyc.org,Friday  8am-4pm,June 13 - November 21,M,Y,Y,40.83301,-73.86277,"(40.83301, -73.86277)"
Bronx,Poe Park Greenmarket,"192nd St. & Grand Concourse,btwn Grand Concourse & Valentine Ave.",Grand Concourse and Valentine E.192nd St,Bronx,NY,10458,Chelsea Whittaker,2127887476,http://www.grownyc.org,Tuesday  8am-3pm,July 1 - November 25,M,Y,Y,40.86423,-73.89572,"(40.86423, -73.89572)"
Bronx,Riverdale Neighborhood House Youthmarket,"W. 256th St. & Mosholu, RiverdaleNeighborhood House Property",W 256th St. & Mosholu,Bronx,NY,10466,Jackie Bach,2127883818,http://www.grownyc.org/youthmarket,Thursday  3pm-7pm,July 10 - November 20,M,Y,Y,40.90388,-73.90313,"(40.90388, -73.90313)"
Bronx,Riverdale Y Sunday Farmers' Market,"Independence Ave,W. 237th St.",Independence Ave and W 237 Street,Bronx,NY,10463,Phyllis Steele,7185488200,http://www.riverdaley.org/sundaymarket,Sunday  9am-2pm,May 11 - November 16,P/M,Y,N,40.88836,-73.91311,"(40.88836, -73.91311)"
Bronx,South Bronx Farmers' Market,"138th Street, Mott Haven,btwn Willis & Alexander Aves.",330-398 East 138th Street,Bronx,NY,10454,Rose Placencia-Knepper,9176798654,http://www.southbronxfarmersmarket.com,Saturday  10am-4pm,June 14 - November 22,M,Y,Y,40.80913,-73.92297,"(40.80913, -73.92297)"
Bronx,Taqwa Community Farmers' Market,"90 W. 164th St. & Ogden Ave., in garden",90 West 164th St & Ogden Ave.,Bronx,NY,10452,Kadeesha Williams,2126121528,,Saturday  8am-4pm,June 28 - November 15,M,Y,N,40.83251,-73.92886,"(40.83251, -73.92886)"
Bronx,Wholesale Greenmarket,"Halleck St. & Viele Ave., Auxilary Lot",Halleck Street and Viele Avenue,Bronx,NY,10474,Chelsea Whittaker,2127887476,http://www.grownyc.org,"Tue - Sat, 2am - 8am",May - November,M,Y,N,40.80752,-73.87989,"(40.80752, -73.87989)"
Broome,Binghamton/Otsiningo Park Farmers' Market,"Otsiningo Park, Upper Front St., Binghamton 13905","Bevier St and Otsiningo Park,",Binghamton,NY,13905,Peter D. Reynolds,6078623599,,Saturday  9am-1pm,May 3 - October 25,P/M,Y,Y,42.12016,-75.90461,"(42.12016, -75.90461)"
Broome,Binghamton/Otsiningo WINTER Farmers' Market,"Metro Center Lobby, 49 Court St.Pyramid Brokerage",49 Court St.,Binghamton,NY,13901,Lauren Tonti,6072356631,,1st & 3rd Sat. 9pm to 12 Noon,November 8 - April 18,X/W/P,N,N,42.09938,-75.91211,"(42.09938, -75.91211)"
Broome,Downtown Binghamton Farmers' Market,Court House Square 98 Collier St.,98 Collier St,Binghamton,NY,13901,Eric Denk,6072069471,http://www.binghamtonfarmersmarket.com,Tue/Fri  9am-2pm,June 6 - October 31,M,Y,Y,42.09866,-75.91161,"(42.09866, -75.91161)"
Broome,Koo Koose Farmers' Market,"Park on Front Street, near flag polenear Village Hall & Movie Theater",147 NYS Bicycle Route 17,Deposit,NY,13754,Dorothy Crantz,6074672956,,Saturday  9am-1pm,June - September,M,Y,N,42.0608,-75.42562,"(42.0608, -75.42562)"
Broome,Vestal Farmers' Market,"Library parking lot, near museum320 Vestal Pkwy E (Rt. 434)",320 Vestal Pkwy,Vestal,NY,13850,Lisa Bloodnick,6076254141,,Sat/Wed  9am-1pm,May 24 - November 26,P/M,Y,N,42.08533,-76.05903,"(42.08533, -76.05903)"
Cattaraugus,Franklinville Farmers' Market,13 Park Square (Route 16),13 Park Sq,Franklinville,NY,14737,Phyllis Couture,7169423710,,Wednesday  3pm-6pm,May 21 - October 29,P/M,Y,Y,42.33772,-78.45771,"(42.33772, -78.45771)"
Cattaraugus,Olean Southern Tier Farmers' Market,"Tractor Supply Store 1900 Constitution Ave., Olean",1900 Constitution Ave,Olean,NY,14760,Phyllis Couture,7169423710,,Friday  2pm-6pm,May 16 - October 31,P/M,Y,Y,42.08294,-78.45503,"(42.08294, -78.45503)"
Cattaraugus,R.E.A.P. Olean Farmers' Market,"Jamestown Community College Olean Campus parking lot, 260 N Union St.",260 North Union Street,Olean,NY,14760,Mark Schindlbeck,7166769181,http://www.reapfarmersmarket.com,Saturday  8am-1pm,May 17 - October 25,P/M,Y,Y,42.08078,-78.42744,"(42.08078, -78.42744)"
Cattaraugus,Salamanca Farmers' Market,"12 Park Ave., Jefferson Park",12 Park Ave,Salamanca,NY,14779,Phyllis Couture,7169423710,,Tuesday  11am-5pm,May 20 - October 28,P/M,Y,Y,42.15497,-78.71739,"(42.15497, -78.71739)"
Cattaraugus,The Master's Plan Café Farmers' Market,9586 Railroad St.,9586 Railroad Street,Dayton,NY,14041,Angie Mardino-Miller,7167259229,,Saturday  9am-1pmTuesday 10am-3pm,June 14 - November 15,M,Y,N,42.41871,-78.97532,"(42.41871, -78.97532)"
Cayuga,Auburn Farmers' Market,96 State StreetCurley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3152556871,http://www.auburnfarmerscoopmarketinc.com,Tue/Thu/Sat  7am-2pm,June 3 - October 30,M,Y,Y,42.93406,-76.56977,"(42.93406, -76.56977)"
Cayuga,Moravia Farmers' Market,Kinney Drug Store parking lot 130 Main St.,130 Main St,Moravia,NY,13118,Tammy Riker,3154963545,,Thursday  10am-5pm,June 12 - October 30,M,Y,N,42.71209,-76.42079,"(42.71209, -76.42079)"
Cayuga,Niles Farmers' Market,"Niles Town Hall,5923 New Hope Rd., Moravia",5923 New Hope Rd.,Moravia,NY,13118,John DeWitt,3154970142,,Saturday  10am-1pm,May 31 - October 25,P/M,Y,N,42.79748,-76.36609,"(42.79748, -76.36609)"
Chautauqua,Downtown Jamestown Farmers' Market,Cherry St. btwn 2nd & 3rd Sts.,119 West 3rd St,Jamestown,NY,14701,Christina King,7166642477,http://www.jamestownrenaissance.org,Thursday  12 Noon-6pm,June 5 - October 30,M,Y,Y,42.09602,-79.24315,"(42.09602, -79.24315)"
Chautauqua,Downtown Jamestown WINTER Farmers' Market,Renaissance Center119-121 W Third Street,119 West Third Street,Jamestown,NY,14701,Tiffani Conti,7166642477,http://www.jamestownrenaissance.org,Thursday 12am - 6pmMonthly,November 7 - February 27,X/W,N,N,42.09602,-79.24315,"(42.09602, -79.24315)"
Chautauqua,Dunkirk Farmers' Market,"Dunkirk Senior Center,45 Cliffstar Court",45 Cliffstar Avenue,Dunkirk,NY,14048,Steve Nerrato,7163669877,,Wednesday  9am-2pm,June 18 - September 24,M,Y,N,42.48463,-79.32644,"(42.48463, -79.32644)"
Chautauqua,Falconer Farmers' Market,Davis Park W. Main & Homestead Sts.,W Main St and Homestead St,Falconer,NY,14733,DeEtte Dispenza,7166654400,,Saturday  9am-2pm,June 7 - October 25,M,Y,N,42.11763,-79.19952,"(42.11763, -79.19952)"
Chautauqua,Fredonia Farmers' Market,9-11 Church St. Village Hall in Baker Commons,11 Church St,Fredonia,NY,14063,Margaret Bruegel,7169652716,http://www.fredoniafarmersmarket.org,Saturday  9am-1pm,May - October,P/M,Y,Y,42.44064,-79.33235,"(42.44064, -79.33235)"
Chautauqua,Fredonia WINTER Farmers' Market,321 East Main St. (Rt 20)Masonic Forest Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Margaret Bruegel,7169652716,http://www.fredoniafarmersmarket.org,Saturday 10am - 1pm,November - May,X/W/P,N,Y,42.44071,-79.33227,"(42.44071, -79.33227)"
Chautauqua,Lakewood Farmers' Market,Chautauqua Ave.,Chautauqua Ave and West Second St,Lakewood,NY,14750,Joe Johnson,7167638557,http://www.lakewoodny.com,Tuesday  1pm-5pm,June 3 - August 26,M,Y,Y,42.10189,-79.3262,"(42.10189, -79.3262)"
Chautauqua,Westfield Farmers' Market,Rt 20 & Rt 394,Main St and Portage St,Westfield,NY,14787,Arianne Correll,7166401166,http://www.westfieldny.com/farmersmarket,Saturday  9am-2pm,May 31 - September 27,P/M,Y,N,42.32203,-79.57812,"(42.32203, -79.57812)"
Chemung,Elmira Eastside Farmers' Market,"West Lawn of Holiday Inn 760 E. Water St., Elmira",760 East Water St,Elmira,NY,14901,Andrew Fagan,6077344453,http://www.ccechemung.org,Friday  3pm-6pm,June 27 - October 17,M,Y,Y,42.08905,-76.7922,"(42.08905, -76.7922)"
Chemung,Elmira Grove Park Farmers' Market,4th St. & Walnut Ave. Grove Park,Walnut Ave and West 4th St,Elmira,NY,14901,Liz Martin,6075464535,,Monday  3pm-6pm,June 2 - October 27,M,Y,Y,42.0921,-76.82013,"(42.0921, -76.82013)"
Chemung,Elmira Wisner Park Farmers' Market,Wisner Park Church & Main Sts.,North Main St and West Church St,Elmira,NY,14901,Jennifer Herrick,6077340341,http://www.wisnermarket.org,Thursday  10am-2pm,May 29 - September 25,M,Y,Y,42.08984,-76.80826,"(42.08984, -76.80826)"
Chemung,Horseheads/Teal Park Farmers' Market,"Teal Park, HorseheadsCorner S. Main and Steuben Sts.",Corner S. Main and Steuben St.,Horseheads,NY,14845,Debbie Gessick,6077397698,,Saturday  10am-1pm,June 28 - September 27,M,Y,N,42.16417,-76.81919,"(42.16417, -76.81919)"
Chenango,Bull Thistle Farmers' Market,East Park Norwich,1 East Park Place,Norwich,NY,13815,Ann Coe,6073361811,,Saturday  9am-1pm,May 24 - October 25,P/M,Y,Y,42.53181,-75.5238,"(42.53181, -75.5238)"
Chenango,Coventry Farmers' Market,"Coventry Fire Station, North Rd.Town Hall NYS Route 235",North Rd and Volunteer Ln,Coventry,NY,13778,Ellen Evans,6076567319,,Sun  12 Noon-6pm Thu  2:30pm-6pm,June 1 - November 6,M,Y,N,42.31667,-75.63847,"(42.31667, -75.63847)"
Chenango,Norwich Farmers' Market,East Park,98 East Park Place,Norwich,NY,13815,Drew Piaschyk,6073344928,,Wednesday  10am-6pm,Year-round,YR,N,Y,42.53136,-75.52262,"(42.53136, -75.52262)"
Clinton,Chateaugay Lake Farmers' Market,"Hollywood Inn, Rt 374 lake narrows, west of Merrill",4939 State Route 374,Merrill,NY,12955,Vicky Rayl,5187721064,http://www.adirondackfarmersmarket.com,Saturday  10am-2pm,June 21 - September 6,M,Y,N,44.78075,-73.98214,"(44.78075, -73.98214)"
Clinton,Keeseville Farmers Market,Riverside Park behind Library on Front St.,1721 Front St,Keeseville,NY,12944,Vicky Rayl,5187721064,http://www.adirondackfarmersmarket.com,Wednesday  10am-2pm,June 11 - August 27,M,Y,N,44.50436,-73.48061,"(44.50436, -73.48061)"
Clinton,Plattsburgh Farmers & Crafters Market,City parking lotDurkee & Broad Sts.,Broad St and Durkee St,Plattsburgh,NY,12901,Patricia Parker,5183100719,,Sat  9am-2pmWed  10am-2pm,May 10 - October 11,P/M,Y,N,44.69535,-73.45226,"(44.69535, -73.45226)"
Clinton,Plattsburgh WINTER Farmers' Market,Plattsburgh City Recreation Center Old Base Oval,52 U.S. Oval,Plattsburgh,NY,12903,Beth Spaugh,5186437822,http://www.plattsburghfarmersmarket.com,"Saturday 10am - 1pmEvery Sat, Oct - Dec1st & 3rd Sat, Jan - May",October 18 - May 2,X/W/P,Y,N,44.68659,-73.44546,"(44.68659, -73.44546)"
Columbia,Copake Hillsdale Farmers' Market,"Roeliff Jansen Park, 9140 Route 22",9140 Route 22,Hillsdale,NY,12529,Diane Creed,5183251430,http://www.facebook.com/copakehillsdalefarmersmarket,Saturday  9am-1pm,May 31 - October 25,P/M,Y,N,42.16548,-73.51686,"(42.16548, -73.51686)"
Columbia,Hudson Farmers' Market,"DMV parking lot, Sixth & Columbia Sts.",Columbia St and North 6th St,Hudson,NY,12534,Eugene Shetsky,5188287217,http://www.hudsonfarmersmarketny.com,Saturday  9am-1pm,May 3 - November 22,P/M,Y,Y,42.24866,-73.78369,"(42.24866, -73.78369)"
Columbia,Kinderhook Farmers' Market,"Village Green, Center of Village",US Route 9 and Hudson St,Kinderhook,NY,12106,Kim Voltz,5187559293,http://www.kinderhookfarmersmarket.com,Sat  8:30am-12:30pm,May 3 - October 11,P/M,Y,N,42.3954,-73.69817,"(42.3954, -73.69817)"
Columbia,New Lebanon Country Farmers' Market,36 Old Route 20,"36 Old Route 20, East Nassau, NY",New Lebanon,NY,12125,Tistrya Houghtling,5185051535,http://www.facebook.com/newlebanoncountrymarket,Sunday  10am-2pm,June 1 - September 28,M,Y,Y,42.50837,-73.56138,"(42.50837, -73.56138)"
Columbia,Philmont Farmers' Market,116 Main Street,116 Main St,Philmont,NY,12565,Sally Baker,5186727556,http://www.pbinc.org/revitalization,Sunday  10am-2pm,May 25 - October 12,P/M,Y,Y,42.24868,-73.65097,"(42.24868, -73.65097)"
Cortland,Cincinnatus Farmers' Market,Cortland-Chenango Rural Services 2704 Lower Cincinnatus Rd.,2704 Lower Cincinnatus Rd,Cincinnatus,NY,13040,Sister Kathleen Heffron,6078633828,,Saturday  9am-12 Noon,May 10 - November 1,P/M,Y,N,42.54094,-75.8959,"(42.54094, -75.8959)"
