Borough,Market Name,Street Address,Day(s),Hours of operation,Delete/New/Change 2014,Accept EBT,Stellar,CSWCKs,
Brooklyn,Kensington Youthmarket,Ft. Hamilton Pkwy bet E 4th & E 5th Sts,Sat,10am - 3pm,,Yes,No,No,
Brooklyn,Malcolm X Blvd Farmers' Market,Malcolm X Blvd bet Marion & Chauncey Sts,Sat ,8am - 3pm,,Yes,No,No,
Brooklyn,McGolrick Park's Down to Earth Farmers' Market,Russel St & Nassau Ave,Sun,11am - 4pm,Name change,Yes,No,No,
Brooklyn,Park Slope's Down to Earth Farmers' Market,"5th Ave & 4th St, in front of PS 51",Wed & Sun,3am - 7pm (Wed); 10am - 5pm (Sun),Name change,Yes,No,No,
Brooklyn,Parkside Plaza Farmers' Market,Parkside Ave bet Ocean & Flatbush Aves,Fri,11am - 6pm,New,Yes,No,No,
Brooklyn,Project EATS Brownsville Farmers' Market,"Amboy St & Blake Ave, at Amboy St Garden",Sat,10am - 4pm  ,New,Yes,No,No,
Brooklyn,Marcy Plaza Community Farmers' Market,"Restoration Plaza, 1368 Fulton St",Wed,9am - 4pm,Name change,Yes,No,No,
Brooklyn,Red Hook Farmers' Market,Red Hook Community Farm at 580 Columbia St,Sat ,10am - 3pm,Location change,Yes,No,No,
Brooklyn,Saratoga Farm Stand,Saratoga Ave & Fulton St,Sat,10am - 2pm,New,Yes,No,No,
Brooklyn,Sunset Park Greenmarket,4th Ave bet 59th & 60th Sts,Sat,8am - 3pm,,Yes,Yes,No,
Brooklyn,Urban Oasis Farmers' Market,Clarkson & Troy Aves,Wed,2pm - 5:30pm,,Yes,No,No,
Brooklyn,Walt L Shamel Farmers' Market,"Dean St bet Franklin & Bedford Aves, at Walt L Shamel Garden",Sat,8am - 3pm,,Yes,No,No,
Brooklyn,Williamsburg Greenmarket,Roebling St and S 9th St,Thurs ,8am - 2pm,Location change,Yes,Yes,No,
Brooklyn,Windsor Terrace - PS 154 Greenmarket,11th Ave bet Sherman St & Windsor Pl,Sun,9am - 3pm,,Yes,No,No,
Manhattan,57th Street Greenmarket,W 57th St & 9th Ave,Wed & Sat ,8am - 5pm,,Yes,No,No,
Manhattan,79th Street Greenmarket,Columbus Ave bet W 78th & 81st Sts,Sun,9am - 5pm,,Yes,No,No,
Manhattan,82nd Street Greenmarket,82nd St bet 1st and York Aves,Sat,9am - 2:30pm,,Yes,No,No,
Manhattan,92nd Street Greenmarket,1st Ave bet 92nd & 93rd Sts,Sun ,9am - 4pm,,Yes,Yes,No,
Manhattan,97th Street Greenmarket,W 97th St bet Columbus & Amsterdam Aves,Fri ,8am - 2pm,,Yes,No,No,
Manhattan,125th Street FreshConnect Farmers' Market,"State Office Building, W 125th St & Adam Clayton Powell Blvd",Tues,10am - 7pm,,Yes,Yes,Yes,
Manhattan,Abingdon Square Greenmarket,W 12th St & 8th Ave,Sat ,8am - 2pm,,Yes,No,No,
Manhattan,Bowling Green Greenmarket,Broadway & Battery Pl,Tues & Thurs,8am - 5pm,,Yes,No,No,
Manhattan,Broadway French Market,Broadway bet 35th & 36th Sts,"Tues, Wed & Fri ",11:30am - 6pm,,No,No,No,
Manhattan,Chelsea's Down to Earth Farmers' Market,23rd St bet 8th & 9th Aves,Sat,9am - 5pm ,New,Yes,No,No,
Manhattan,City Hall Greenmarket,Broadway & Chambers St,Tues & Fri ,8am - 4pm,,Yes,No,No,
Manhattan,Columbia University Greenmarket,Broadway bet 114th & 116th Sts,Thurs & Sun ,8am - 5pm,,Yes,No,No,
Manhattan,Dag Hammarskjold Plaza Greenmarket,47th St & 2nd Ave,Wed,8am - 4pm,,Yes,No,No,
Manhattan,Downton PATH Greenmarket,W Broadway bet Barclay St & Park Pl,Tues,8am - 6pm,,No,No,No,
Manhattan,Fort Washington Greenmarket,168th St & Ft. Washington Ave,Tues,8am - 4pm,,Yes,No,No,
Manhattan,Grass Roots Farmers' Market,"W 145th St bet Edgecomb & Bradhurst Aves, at Jackie Robinson Park",Tues & Sat,9am - 4pm,,Yes,Yes,No,
Manhattan,Hamilton Heights Green Youthmarket,143rd St bet Amsterdam Ave & Hamilton Pl,Wed,11:30am - 4pm,New,Yes,No,No,
Manhattan,Harvest Home East Harlem Farmers' Market,104th St & 3rd Ave,Tues & Thurs,8am - 4pm,,Yes,No,No,
Manhattan,Harvest Home Harlem Hospital Farmers Market,506 Lenox Ave bet W 135th and 137th Sts,Fri,8am - 4pm,Location change,Yes,No,No,
Manhattan,Harvest Home Lenox Ave Market,Lenox Ave bet 117th & 118th Sts,Sat,8am - 4pm,,Yes,No,No,
Manhattan,Harvest Home Metropolitan Market,99th St & 3rd Ave,Fri ,8am - 4pm,,Yes,No,No,
Manhattan,Harvest Home West Harlem Farmers' Market,137th St & Broadway,Tues,8am - 4pm,,Yes,No,No,
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman Ave & Cooper St,Sat ,8am - 3pm,,Yes,No,No,
Manhattan,Lower East Side Youthmarket,Grand Ave bet Pitt St & Abraham Pl,Thurs,1pm - 7pm,,Yes,No,No,
Manhattan,Morningside Park's Down to Earth Farmers' Market,W 110th St & Manhattan Ave,Sat ,9am - 5pm ,Name change,Yes,No,No,
Manhattan,Mt. Morris Park HERBan Farmers' Market,Marcus Garvey Park at 124th St & 5th Ave,Sat,10am - 5pm,New,Yes,Yes,No,
Manhattan,Mt. Sinai Hospital Greenmarket,99th St bet Madison & Park Aves,Wed,8am - 5pm,,Yes,No,No,
Manhattan,NY/NJ Port Authority Greenmarket,"8th Ave & W 42nd St, inside bus terminal",Thurs,8am - 5pm,,No,No,No,
Manhattan,Project EATS Frederick Douglas Houses Farmers' Market,840 Amsterdam Ave at 101st St,Sat,10am - 2pm,,Yes,No,No,
Manhattan,PS 11 Farm Market,21st St bet 8th and 9th Aves,Wed,8am - 10am,,Yes,No,No,
Manhattan,Rockefeller Center Greenmarket,Rockefeller Plaza at 50th St,"Wed, Thurs & Fri",8am - 5pm,,No,No,No,
Manhattan,SoHA Square Farmers' Market,2171 Frederick Douglass Blvd at W 117th St,"Thurs, Fri & Sat",11am - 7pm,New,Yes,No,No,
Manhattan,St. Mark's Church Greenmarket,E 10th St & 2nd Ave,Tues,8am - 6pm,,Yes,No,No,
Manhattan,Staten Island Ferry/Whitehall Greenmarket,"4 South St, inside Ferry Terminal Bldg",Tues & Fri ,8am - 7pm,,Yes,No,No,
Manhattan,Stuyvesant Town Greenmarket,14th St Loop & Ave A,Sun,9:30am - 4pm,,Yes,No,No,
Manhattan,Tompkins Square Greenmarket,E 7th St & Ave A,Sun,9am - 6pm,,Yes,No,No,
Manhattan,Tribeca Greenmarket,Greenwich & Chambers Sts,Wed & Sat ,8am - 3pm,,Yes,No,No,
Manhattan,Tucker Square Greenmarket,W 66th St & Columbus Ave,Thurs & Sat,8am - 5pm,,Yes,No,No,
Manhattan,Union Square Greenmarket,Broadway & E 17th St,"Mon, Wed, Fri & Sat",8am - 6pm,,Yes,No,No,
Manhattan,Washington Heights 175th Street Greenmarket,175th St bet Broadway & Wadsworth Ave,Thurs ,8am - 4pm,,Yes,Yes,No,
Queens,Astoria Greenmarket,1226 31st Ave at 14th St,Wed,8am - 3pm,,Yes,No,No,
Queens,CK Farm Rockaway,444 Beach 58th St & Beach Channel Dr,Sat,10am - 3pm,New name,Yes,No,No,
Queens,Corona Greenmarket,Roosevelt Ave & 103rd St,Fri,8am - 3pm,,Yes,Yes,Yes,
Queens,Culinary Kids Farmers' Market,30-15 Seagirt Blvd,Sat,10am - 3pm,New,Yes,No,No,
Queens,Elmhurst Hospital Greenmarket,41st Ave bet 80th & 81st Sts,Tues,8am - 4pm,,Yes,No,No,
Queens,Forest Hills Greenmarket,Queens Blvd & 70th Ave,Sun,8am - 3pm,,Yes,No,No,
Queens,Jackson Heights Greenmarket,34th Ave at 78th St,Sun,8am - 3pm,Location change (down the street),Yes,Yes,Yes,
Queens,Jamaica's Down to Earth Farmers Market,"90-40 160th St, off Jamaica Ave",Fri & Sat,8:30am - 4pm,,Yes,No,No,
Queens,Joseph Addabbo Family Health Center's Farmers' Market,6200 Beach Channel Dr,Sat,8am - 2pm,,No,No,No,
Queens,Long Island City Youthmarket,Vernon Blvd bet 47th & 48th Aves,Sat,9am - 4pm,,Yes,No,No,
Queens,Pomonok Community Run Farmers' Market,"67-09 Kissena Blvd, at QCH Pomonok Center",Wed,9am - 4pm,Name change,Yes,No,No,
Queens,Queens Botanical Garden's Down to Earth Farmers' Market,Dahlia Ave off Main St,Fri,8:30am - 4pm,Name change,Yes,No,No,
Queens,Ridgewood Youthmarket,Cypress Ave bet Myrtle & Putnam Aves,Sat,10am - 3pm,,Yes,No,No,
Queens,Rockaway Beach Youthmarket,Beach 94th St & Shore Front Pkwy,Sat,10am - 2pm,,Yes,No,No,
Queens,Socrates Sculpture Park Greenmarket,Vernon Blvd & Broadway,Sat,8am - 4pm,,Yes,No,No,
Queens,Sunnyside Gardens Greenmarket,Skillman Ave bet 42nd & 43rd Sts,Sat,8am - 3pm,,Yes,No,No,
Staten Island,Snug Harbor Heritage Farm Farmers Market,"914 Richmond Terrace, entrance on Snug Harbor Rd",Fri,12pm - 2pm,,No,No,No,
Staten Island,St. George Greenmarket,"St. Marks Pl at Hyatt St, inside St George Theater parking lot",Sat,8am - 2pm,Location change (down the street),Yes,No,No,
Staten Island,Staten Island Mall Greenmarket,"Richmond Ave entrance, inside parking lot",Sat,8am - 3pm,,Yes,No,No,
